r_m,theta_rad,mx,my
0.156000,0.785398163397,0.704230825793,0.704230825793
0.157000,0.785398163397,0.704193732474,0.704193732474
0.158000,0.785398163397,0.704156399458,0.704156399458
0.159000,0.785398163397,0.704118826691,0.704118826691
0.160000,0.785398163397,0.704081014121,0.704081014121
0.161000,0.785398163397,0.704042961696,0.704042961696
0.162000,0.785398163397,0.704004669364,0.704004669364
0.163000,0.785398163397,0.703966137070,0.703966137070
0.164000,0.785398163397,0.703927364762,0.703927364762
0.165000,0.785398163397,0.703888352385,0.703888352385
0.166000,0.785398163397,0.703849099885,0.703849099885
0.167000,0.785398163397,0.703809607207,0.703809607207
0.168000,0.785398163397,0.703769874297,0.703769874297
0.169000,0.785398163397,0.703729901098,0.703729901098
0.170000,0.785398163397,0.703689687557,0.703689687557
0.171000,0.785398163397,0.703649233615,0.703649233615
0.172000,0.785398163397,0.703608539217,0.703608539217
0.173000,0.785398163397,0.703567604307,0.703567604307
0.174000,0.785398163397,0.703526428826,0.703526428826
0.175000,0.785398163397,0.703485012718,0.703485012718
0.176000,0.785398163397,0.703443355925,0.703443355925
0.177000,0.785398163397,0.703401458389,0.703401458389
0.178000,0.785398163397,0.703359320050,0.703359320050
0.179000,0.785398163397,0.703316940851,0.703316940851
0.180000,0.785398163397,0.703274320731,0.703274320731
0.181000,0.785398163397,0.703231459632,0.703231459632
0.182000,0.785398163397,0.703188357493,0.703188357493
0.183000,0.785398163397,0.703145014254,0.703145014254
0.184000,0.785398163397,0.703101429855,0.703101429855
0.185000,0.785398163397,0.703057604233,0.703057604233
0.186000,0.785398163397,0.703013537329,0.703013537329
0.187000,0.785398163397,0.702969229080,0.702969229080
0.188000,0.785398163397,0.702924679423,0.702924679423
0.189000,0.785398163397,0.702879888297,0.702879888297
0.190000,0.785398163397,0.702834855639,0.702834855639
0.191000,0.785398163397,0.702789581385,0.702789581385
0.192000,0.785398163397,0.702744065472,0.702744065472
0.193000,0.785398163397,0.702698307837,0.702698307837
0.194000,0.785398163397,0.702652308413,0.702652308413
0.195000,0.785398163397,0.702606067138,0.702606067138
0.196000,0.785398163397,0.702559583946,0.702559583946
0.197000,0.785398163397,0.702512858771,0.702512858771
0.198000,0.785398163397,0.702465891548,0.702465891548
0.199000,0.785398163397,0.702418682211,0.702418682211
0.200000,0.785398163397,0.702371230692,0.702371230692
0.201000,0.785398163397,0.702323536927,0.702323536927
0.202000,0.785398163397,0.702275600846,0.702275600846
0.203000,0.785398163397,0.702227422383,0.702227422383
0.204000,0.785398163397,0.702179001469,0.702179001469
0.205000,0.785398163397,0.702130338037,0.702130338037
0.206000,0.785398163397,0.702081432017,0.702081432017
0.207000,0.785398163397,0.702032283340,0.702032283340
0.208000,0.785398163397,0.701982891938,0.701982891938
0.209000,0.785398163397,0.701933257740,0.701933257740
0.210000,0.785398163397,0.701883380675,0.701883380675
0.211000,0.785398163397,0.701833260674,0.701833260674
0.212000,0.785398163397,0.701782897666,0.701782897666
0.213000,0.785398163397,0.701732291579,0.701732291579
0.214000,0.785398163397,0.701681442341,0.701681442341
0.215000,0.785398163397,0.701630349881,0.701630349881
0.216000,0.785398163397,0.701579014126,0.701579014126
0.217000,0.785398163397,0.701527435003,0.701527435003
0.218000,0.785398163397,0.701475612439,0.701475612439
0.219000,0.785398163397,0.701423546361,0.701423546361
0.220000,0.785398163397,0.701371236694,0.701371236694
0.221000,0.785398163397,0.701318683365,0.701318683365
0.222000,0.785398163397,0.701265886298,0.701265886298
0.223000,0.785398163397,0.701212845419,0.701212845419
0.224000,0.785398163397,0.701159560651,0.701159560651
0.225000,0.785398163397,0.701106031920,0.701106031920
0.226000,0.785398163397,0.701052259149,0.701052259149
0.227000,0.785398163397,0.700998242261,0.700998242261
0.228000,0.785398163397,0.700943981179,0.700943981179
0.229000,0.785398163397,0.700889475827,0.700889475827
0.230000,0.785398163397,0.700834726126,0.700834726126
0.231000,0.785398163397,0.700779731998,0.700779731998
0.232000,0.785398163397,0.700724493365,0.700724493365
0.233000,0.785398163397,0.700669010148,0.700669010148
0.234000,0.785398163397,0.700613282267,0.700613282267
0.235000,0.785398163397,0.700557309643,0.700557309643
0.236000,0.785398163397,0.700501092196,0.700501092196
0.237000,0.785398163397,0.700444629846,0.700444629846
0.238000,0.785398163397,0.700387922510,0.700387922510
0.239000,0.785398163397,0.700330970110,0.700330970110
0.240000,0.785398163397,0.700273772561,0.700273772561
0.241000,0.785398163397,0.700216329784,0.700216329784
0.242000,0.785398163397,0.700158641695,0.700158641695
0.243000,0.785398163397,0.700100708211,0.700100708211
0.244000,0.785398163397,0.700042529250,0.700042529250
0.245000,0.785398163397,0.699984104727,0.699984104727
0.246000,0.785398163397,0.699925434560,0.699925434560
0.247000,0.785398163397,0.699866518663,0.699866518663
0.248000,0.785398163397,0.699807356952,0.699807356952
0.249000,0.785398163397,0.699747949341,0.699747949341
0.250000,0.785398163397,0.699688295745,0.699688295745
0.251000,0.785398163397,0.699628396079,0.699628396079
0.252000,0.785398163397,0.699568250255,0.699568250255
0.253000,0.785398163397,0.699507858188,0.699507858188
0.254000,0.785398163397,0.699447219789,0.699447219789
0.255000,0.785398163397,0.699386334972,0.699386334972
0.256000,0.785398163397,0.699325203648,0.699325203648
0.257000,0.785398163397,0.699263825730,0.699263825730
0.258000,0.785398163397,0.699202201127,0.699202201127
0.259000,0.785398163397,0.699140329753,0.699140329753
0.260000,0.785398163397,0.699078211516,0.699078211516
0.261000,0.785398163397,0.699015846327,0.699015846327
0.262000,0.785398163397,0.698953234095,0.698953234095
0.263000,0.785398163397,0.698890374730,0.698890374730
0.264000,0.785398163397,0.698827268141,0.698827268141
0.265000,0.785398163397,0.698763914236,0.698763914236
0.266000,0.785398163397,0.698700312922,0.698700312922
0.267000,0.785398163397,0.698636464109,0.698636464109
0.268000,0.785398163397,0.698572367702,0.698572367702
0.269000,0.785398163397,0.698508023610,0.698508023610
0.270000,0.785398163397,0.698443431737,0.698443431737
0.271000,0.785398163397,0.698378591990,0.698378591990
0.272000,0.785398163397,0.698313504275,0.698313504275
0.273000,0.785398163397,0.698248168497,0.698248168497
0.274000,0.785398163397,0.698182584561,0.698182584561
0.275000,0.785398163397,0.698116752370,0.698116752370
0.276000,0.785398163397,0.698050671830,0.698050671830
0.277000,0.785398163397,0.697984342842,0.697984342842
0.278000,0.785398163397,0.697917765311,0.697917765311
0.279000,0.785398163397,0.697850939140,0.697850939140
0.280000,0.785398163397,0.697783864229,0.697783864229
0.281000,0.785398163397,0.697716540482,0.697716540482
0.282000,0.785398163397,0.697648967799,0.697648967799
0.283000,0.785398163397,0.697581146082,0.697581146082
0.284000,0.785398163397,0.697513075231,0.697513075231
0.285000,0.785398163397,0.697444755147,0.697444755147
0.286000,0.785398163397,0.697376185729,0.697376185729
0.287000,0.785398163397,0.697307366876,0.697307366876
0.288000,0.785398163397,0.697238298487,0.697238298487
0.289000,0.785398163397,0.697168980461,0.697168980461
0.290000,0.785398163397,0.697099412695,0.697099412695
0.291000,0.785398163397,0.697029595088,0.697029595088
0.292000,0.785398163397,0.696959527537,0.696959527537
0.293000,0.785398163397,0.696889209938,0.696889209938
0.294000,0.785398163397,0.696818642187,0.696818642187
0.295000,0.785398163397,0.696747824181,0.696747824181
0.296000,0.785398163397,0.696676755815,0.696676755815
0.297000,0.785398163397,0.696605436984,0.696605436984
0.298000,0.785398163397,0.696533867582,0.696533867582
0.299000,0.785398163397,0.696462047504,0.696462047504
0.300000,0.785398163397,0.696389976644,0.696389976644
0.301000,0.785398163397,0.696317654894,0.696317654894
0.302000,0.785398163397,0.696245082148,0.696245082148
0.303000,0.785398163397,0.696172258297,0.696172258297
0.304000,0.785398163397,0.696099183235,0.696099183235
0.305000,0.785398163397,0.696025856852,0.696025856852
0.306000,0.785398163397,0.695952279040,0.695952279040
0.307000,0.785398163397,0.695878449690,0.695878449690
0.308000,0.785398163397,0.695804368690,0.695804368690
0.309000,0.785398163397,0.695730035932,0.695730035932
0.310000,0.785398163397,0.695655451305,0.695655451305
0.311000,0.785398163397,0.695580614697,0.695580614697
0.312000,0.785398163397,0.695505525997,0.695505525997
0.313000,0.785398163397,0.695430185093,0.695430185093
0.314000,0.785398163397,0.695354591872,0.695354591872
0.315000,0.785398163397,0.695278746222,0.695278746222
0.316000,0.785398163397,0.695202648029,0.695202648029
0.317000,0.785398163397,0.695126297180,0.695126297180
0.318000,0.785398163397,0.695049693560,0.695049693560
0.319000,0.785398163397,0.694972837054,0.694972837054
0.320000,0.785398163397,0.694895727548,0.694895727548
0.321000,0.785398163397,0.694818364925,0.694818364925
0.322000,0.785398163397,0.694740749070,0.694740749070
0.323000,0.785398163397,0.694662879866,0.694662879866
0.324000,0.785398163397,0.694584757196,0.694584757196
0.325000,0.785398163397,0.694506380943,0.694506380943
0.326000,0.785398163397,0.694427750989,0.694427750989
0.327000,0.785398163397,0.694348867215,0.694348867215
0.328000,0.785398163397,0.694269729503,0.694269729503
0.329000,0.785398163397,0.694190337733,0.694190337733
0.330000,0.785398163397,0.694110691786,0.694110691786
0.331000,0.785398163397,0.694030791542,0.694030791542
0.332000,0.785398163397,0.693950636879,0.693950636879
0.333000,0.785398163397,0.693870227677,0.693870227677
0.334000,0.785398163397,0.693789563814,0.693789563814
0.335000,0.785398163397,0.693708645168,0.693708645168
0.336000,0.785398163397,0.693627471617,0.693627471617
0.337000,0.785398163397,0.693546043036,0.693546043036
0.338000,0.785398163397,0.693464359304,0.693464359304
0.339000,0.785398163397,0.693382420296,0.693382420296
0.340000,0.785398163397,0.693300225888,0.693300225888
0.341000,0.785398163397,0.693217775954,0.693217775954
0.342000,0.785398163397,0.693135070370,0.693135070370
0.343000,0.785398163397,0.693052109009,0.693052109009
0.344000,0.785398163397,0.692968891745,0.692968891745
0.345000,0.785398163397,0.692885418452,0.692885418452
0.346000,0.785398163397,0.692801689001,0.692801689001
0.347000,0.785398163397,0.692717703267,0.692717703267
0.348000,0.785398163397,0.692633461119,0.692633461119
0.349000,0.785398163397,0.692548962429,0.692548962429
0.350000,0.785398163397,0.692464207069,0.692464207069
0.351000,0.785398163397,0.692379194908,0.692379194908
0.352000,0.785398163397,0.692293925816,0.692293925816
0.353000,0.785398163397,0.692208399663,0.692208399663
0.354000,0.785398163397,0.692122616318,0.692122616318
0.355000,0.785398163397,0.692036575648,0.692036575648
0.356000,0.785398163397,0.691950277521,0.691950277521
0.357000,0.785398163397,0.691863721806,0.691863721806
0.358000,0.785398163397,0.691776908369,0.691776908369
0.359000,0.785398163397,0.691689837076,0.691689837076
0.360000,0.785398163397,0.691602507793,0.691602507793
0.361000,0.785398163397,0.691514920386,0.691514920386
0.362000,0.785398163397,0.691427074719,0.691427074719
0.363000,0.785398163397,0.691338970656,0.691338970656
0.364000,0.785398163397,0.691250608063,0.691250608063
0.365000,0.785398163397,0.691161986801,0.691161986801
0.366000,0.785398163397,0.691073106735,0.691073106735
0.367000,0.785398163397,0.690983967726,0.690983967726
0.368000,0.785398163397,0.690894569636,0.690894569636
0.369000,0.785398163397,0.690804912327,0.690804912327
0.370000,0.785398163397,0.690714995659,0.690714995659
0.371000,0.785398163397,0.690624819493,0.690624819493
0.372000,0.785398163397,0.690534383689,0.690534383689
0.373000,0.785398163397,0.690443688105,0.690443688105
0.374000,0.785398163397,0.690352732602,0.690352732602
0.375000,0.785398163397,0.690261517036,0.690261517036
0.376000,0.785398163397,0.690170041267,0.690170041267
0.377000,0.785398163397,0.690078305151,0.690078305151
0.378000,0.785398163397,0.689986308544,0.689986308544
0.379000,0.785398163397,0.689894051304,0.689894051304
0.380000,0.785398163397,0.689801533286,0.689801533286
0.381000,0.785398163397,0.689708754344,0.689708754344
0.382000,0.785398163397,0.689615714335,0.689615714335
0.383000,0.785398163397,0.689522413111,0.689522413111
0.384000,0.785398163397,0.689428850527,0.689428850527
0.385000,0.785398163397,0.689335026436,0.689335026436
0.386000,0.785398163397,0.689240940689,0.689240940689
0.387000,0.785398163397,0.689146593140,0.689146593140
0.388000,0.785398163397,0.689051983640,0.689051983640
