r_m,d
0.362000,0.977825546459
0.363000,0.977700948499
0.364000,0.977575984921
0.365000,0.977450655531
0.366000,0.977324960136
0.367000,0.977198898540
0.368000,0.977072470549
0.369000,0.976945675967
0.370000,0.976818514595
0.371000,0.976690986238
0.372000,0.976563090698
0.373000,0.976434827774
0.374000,0.976306197267
0.375000,0.976177198977
0.376000,0.976047832703
0.377000,0.975918098243
0.378000,0.975787995395
0.379000,0.975657523955
0.380000,0.975526683718
0.381000,0.975395474481
0.382000,0.975263896038
0.383000,0.975131948182
0.384000,0.974999630707
0.385000,0.974866943404
0.386000,0.974733886066
0.387000,0.974600458482
0.388000,0.974466660444
0.389000,0.974332491739
0.390000,0.974197952158
0.391000,0.974063041487
0.392000,0.973927759513
0.393000,0.973792106023
0.394000,0.973656080802
0.395000,0.973519683634
0.396000,0.973382914305
0.397000,0.973245772596
0.398000,0.973108258290
0.399000,0.972970371170
0.400000,0.972832111015
0.401000,0.972693477606
0.402000,0.972554470721
0.403000,0.972415090141
0.404000,0.972275335641
0.405000,0.972135207000
0.406000,0.971994703993
0.407000,0.971853826396
0.408000,0.971712573983
0.409000,0.971570946528
0.410000,0.971428943804
0.411000,0.971286565583
0.412000,0.971143811637
0.413000,0.971000681736
0.414000,0.970857175649
0.415000,0.970713293147
0.416000,0.970569033997
0.417000,0.970424397966
0.418000,0.970279384822
0.419000,0.970133994329
0.420000,0.969988226252
0.421000,0.969842080357
0.422000,0.969695556405
0.423000,0.969548654160
0.424000,0.969401373383
0.425000,0.969253713834
0.426000,0.969105675274
0.427000,0.968957257463
0.428000,0.968808460157
0.429000,0.968659283115
0.430000,0.968509726094
0.431000,0.968359788849
0.432000,0.968209471134
0.433000,0.968058772705
0.434000,0.967907693314
0.435000,0.967756232713
0.436000,0.967604390656
0.437000,0.967452166890
0.438000,0.967299561168
0.439000,0.967146573237
0.440000,0.966993202846
0.441000,0.966839449743
0.442000,0.966685313672
0.443000,0.966530794380
0.444000,0.966375891612
0.445000,0.966220605111
0.446000,0.966064934619
0.447000,0.965908879881
0.448000,0.965752440635
0.449000,0.965595616622
0.450000,0.965438407581
0.451000,0.965280813253
0.452000,0.965122833372
0.453000,0.964964467677
0.454000,0.964805715903
0.455000,0.964646577784
0.456000,0.964487053055
0.457000,0.964327141449
0.458000,0.964166842698
0.459000,0.964006156533
0.460000,0.963845082684
0.461000,0.963683620880
0.462000,0.963521770852
0.463000,0.963359532324
0.464000,0.963196905025
0.465000,0.963033888679
0.466000,0.962870483013
0.467000,0.962706687748
0.468000,0.962542502609
0.469000,0.962377927318
0.470000,0.962212961594
0.471000,0.962047605159
0.472000,0.961881857731
0.473000,0.961715719028
0.474000,0.961549188768
0.475000,0.961382266667
0.476000,0.961214952440
0.477000,0.961047245801
0.478000,0.960879146464
0.479000,0.960710654141
0.480000,0.960541768544
0.481000,0.960372489382
0.482000,0.960202816366
0.483000,0.960032749203
0.484000,0.959862287602
0.485000,0.959691431269
0.486000,0.959520179908
0.487000,0.959348533225
0.488000,0.959176490924
0.489000,0.959004052706
0.490000,0.958831218274
0.491000,0.958657987327
0.492000,0.958484359565
0.493000,0.958310334687
0.494000,0.958135912390
0.495000,0.957961092370
0.496000,0.957785874323
0.497000,0.957610257944
0.498000,0.957434242926
0.499000,0.957257828960
0.500000,0.957081015739
0.501000,0.956903802951
0.502000,0.956726190288
0.503000,0.956548177437
0.504000,0.956369764085
0.505000,0.956190949918
0.506000,0.956011734621
0.507000,0.955832117877
0.508000,0.955652099371
0.509000,0.955471678784
0.510000,0.955290855796
0.511000,0.955109630088
0.512000,0.954928001336
0.513000,0.954745969221
0.514000,0.954563533417
0.515000,0.954380693600
0.516000,0.954197449445
0.517000,0.954013800624
0.518000,0.953829746810
0.519000,0.953645287673
0.520000,0.953460422883
0.521000,0.953275152110
0.522000,0.953089475021
0.523000,0.952903391282
0.524000,0.952716900558
0.525000,0.952530002515
0.526000,0.952342696815
0.527000,0.952154983120
0.528000,0.951966861092
0.529000,0.951778330389
0.530000,0.951589390670
0.531000,0.951400041594
0.532000,0.951210282816
0.533000,0.951020113991
0.534000,0.950829534774
0.535000,0.950638544816
0.536000,0.950447143771
0.537000,0.950255331288
0.538000,0.950063107017
0.539000,0.949870470606
0.540000,0.949677421701
0.541000,0.949483959950
0.542000,0.949290084995
0.543000,0.949095796481
0.544000,0.948901094050
0.545000,0.948705977343
0.546000,0.948510445999
0.547000,0.948314499658
0.548000,0.948118137955
0.549000,0.947921360529
0.550000,0.947724167013
0.551000,0.947526557042
0.552000,0.947328530247
0.553000,0.947130086261
0.554000,0.946931224712
0.555000,0.946731945230
0.556000,0.946532247442
0.557000,0.946332130974
0.558000,0.946131595452
0.559000,0.945930640499
0.560000,0.945729265737
0.561000,0.945527470789
0.562000,0.945325255272
0.563000,0.945122618807
0.564000,0.944919561011
0.565000,0.944716081498
0.566000,0.944512179886
0.567000,0.944307855786
0.568000,0.944103108810
0.569000,0.943897938571
0.570000,0.943692344676
0.571000,0.943486326735
0.572000,0.943279884355
0.573000,0.943073017140
0.574000,0.942865724695
0.575000,0.942658006622
0.576000,0.942449862525
0.577000,0.942241292001
0.578000,0.942032294652
0.579000,0.941822870073
0.580000,0.941613017860
0.581000,0.941402737610
0.582000,0.941192028915
0.583000,0.940980891366
0.584000,0.940769324556
0.585000,0.940557328072
0.586000,0.940344901503
0.587000,0.940132044435
0.588000,0.939918756453
0.589000,0.939705037140
0.590000,0.939490886080
0.591000,0.939276302852
0.592000,0.939061287037
0.593000,0.938845838211
0.594000,0.938629955952
0.595000,0.938413639834
0.596000,0.938196889431
0.597000,0.937979704315
0.598000,0.937762084057
0.599000,0.937544028227
0.600000,0.937325536391
0.601000,0.937106608116
0.602000,0.936887242967
0.603000,0.936667440508
0.604000,0.936447200299
0.605000,0.936226521902
0.606000,0.936005404875
0.607000,0.935783848776
0.608000,0.935561853160
0.609000,0.935339417582
0.610000,0.935116541593
0.611000,0.934893224747
0.612000,0.934669466591
0.613000,0.934445266675
0.614000,0.934220624545
0.615000,0.933995539746
0.616000,0.933770011822
0.617000,0.933544040313
0.618000,0.933317624762
0.619000,0.933090764705
0.620000,0.932863459682
0.621000,0.932635709226
0.622000,0.932407512873
0.623000,0.932178870154
0.624000,0.931949780600
0.625000,0.931720243741
0.626000,0.931490259103
0.627000,0.931259826213
0.628000,0.931028944595
0.629000,0.930797613771
0.630000,0.930565833263
0.631000,0.930333602590
0.632000,0.930100921269
0.633000,0.929867788816
0.634000,0.929634204746
0.635000,0.929400168570
0.636000,0.929165679801
0.637000,0.928930737947
0.638000,0.928695342516
0.639000,0.928459493013
0.640000,0.928223188943
0.641000,0.927986429807
0.642000,0.927749215107
0.643000,0.927511544341
0.644000,0.927273417007
0.645000,0.927034832599
0.646000,0.926795790611
0.647000,0.926556290536
0.648000,0.926316331863
0.649000,0.926075914080
0.650000,0.925835036674
0.651000,0.925593699129
0.652000,0.925351900929
0.653000,0.925109641555
0.654000,0.924866920485
0.655000,0.924623737197
0.656000,0.924380091167
0.657000,0.924135981868
0.658000,0.923891408773
0.659000,0.923646371350
0.660000,0.923400869069
0.661000,0.923154901396
0.662000,0.922908467795
0.663000,0.922661567728
0.664000,0.922414200656
0.665000,0.922166366038
0.666000,0.921918063330
0.667000,0.921669291988
